Site Code,Month-Year,Date,FMS Total Active Maintenance Hours (Actual),FMS Total Available Time (Actual),FMS Total Excluded Calendar Hours (Actual),FMS Total Maintenance Delay Hours (Actual),FMS Total Maintenance Hours (Actual),FMS Total Operational Delay Hours (Actual),FMS Total Production Time (Hours) (Actual),FMS Total Standby Hours (Actual),FMS Total Utilized Time (Actual)
CDA,Aug-2020,2020-08-10 00:00:00,139.75,1222.585833333333,0.02,5.65,145.40,48.30,584.62,589.66,632.92
CDA,Aug-2020,2020-08-11 00:00:00,155.14,1191.4602777777777,0.00,8.03,163.17,37.09,565.91,588.47,602.99
CDA,Aug-2020,2020-08-12 00:00:00,165.86,1149.1730555555555,0.00,52.97,218.83,53.86,503.28,592.03,557.14
CDA,Aug-2020,2020-08-13 00:00:00,186.10,1179.4244444444444,0.00,2.48,188.58,39.45,569.27,570.71,608.72
CDA,Aug-2020,2020-08-14 00:00:00,183.46,1170.3622222222225,0.00,14.18,197.64,38.16,545.07,587.13,583.24
CDA,Aug-2020,2020-08-15 00:00:00,180.53,1150.9499999999998,0.00,36.52,217.05,38.69,487.67,624.59,526.36
CDA,Aug-2020,2020-08-16 00:00:00,193.96,1156.3294444444446,0.00,17.71,211.67,33.74,469.38,653.22,503.11
CDA,Aug-2020,2020-08-17 00:00:00,183.62,1181.7675000000002,0.00,2.61,186.23,44.12,564.66,572.99,608.78
CDA,Aug-2020,2020-08-18 00:00:00,245.74,1113.8772222222224,0.00,8.38,254.12,36.68,549.36,527.83,586.04
CDA,Aug-2020,2020-08-19 00:00:00,243.48,1113.5533333333328,0.00,10.97,254.45,27.29,524.80,561.47,552.08
CDA,Aug-2020,2020-08-20 00:00:00,191.17,1154.2577777777778,0.00,22.57,213.74,35.82,494.88,623.56,530.70
CDA,Aug-2020,2020-08-21 00:00:00,168.85,1197.416666666667,0.00,1.73,170.58,83.02,424.09,690.30,507.11
CDA,Aug-2020,2020-08-22 00:00:00,155.84,1207.7519444444445,0.00,4.41,160.25,77.32,484.27,646.16,561.59
CDA,Aug-2020,2020-08-23 00:00:00,160.45,1194.1741666666667,0.00,13.38,173.83,53.53,509.56,631.08,563.09
CDA,Aug-2020,2020-08-24 00:00:00,182.06,1169.3105555555558,0.00,16.63,198.69,43.00,561.82,564.49,604.82
CDA,Aug-2020,2020-08-25 00:00:00,174.53,1188.581111111111,0.00,4.89,179.42,96.80,358.40,733.38,455.20
CDA,Aug-2020,2020-08-26 00:00:00,222.66,1123.7780555555555,0.00,21.56,244.22,59.15,493.24,571.39,552.39
CDA,Aug-2020,2020-08-27 00:00:00,203.49,1159.1000000000001,0.00,5.41,208.90,36.08,564.06,558.96,600.14
CDA,Aug-2020,2020-08-28 00:00:00,173.67,1172.0269444444439,0.00,22.31,195.97,54.01,501.16,616.86,555.17
CDA,Aug-2020,2020-08-29 00:00:00,184.45,1170.5233333333335,0.00,12.07,196.53,36.30,470.21,664.00,506.52
CDA,Aug-2020,2020-08-30 00:00:00,192.65,1166.6836111111108,0.00,8.34,200.99,30.24,561.70,574.75,591.94
CDA,Aug-2020,2020-08-31 00:00:00,167.02,1194.443055555555,0.00,6.54,173.56,43.37,522.51,628.56,565.88
CDA,Sep-2020,2020-09-01 00:00:00,192.64,1162.5366666666669,0.00,12.82,205.46,77.03,495.01,590.49,572.04
CDA,Sep-2020,2020-09-02 00:00:00,194.20,1156.1066666666661,0.00,17.70,211.89,45.28,543.18,567.65,588.45
CDA,Sep-2020,2020-09-03 00:00:00,207.35,1159.3897222222226,0.00,1.26,208.61,31.70,559.84,567.85,591.54
CDA,Sep-2020,2020-09-04 00:00:00,164.71,1198.225277777778,0.00,5.07,169.77,41.03,529.77,627.43,570.80
CDA,Sep-2020,2020-09-05 00:00:00,161.95,1146.4011111111113,0.00,2.65,164.60,47.20,523.32,575.88,570.52
CDA,Sep-2020,2020-09-06 00:00:00,158.62,1190.8533333333335,0.00,18.53,177.15,47.61,555.82,587.43,603.42
CDA,Sep-2020,2020-09-07 00:00:00,183.16,1178.558611111111,0.00,6.28,189.44,45.71,510.17,622.68,555.88
CDA,Sep-2020,2020-09-08 00:00:00,182.64,1178.072222222223,0.00,7.29,189.93,58.29,530.97,588.81,589.26
CDA,Sep-2020,2020-09-09 00:00:00,155.37,1210.0080555555555,0.00,2.62,157.99,28.27,573.78,607.96,602.05
CDA,Sep-2020,2020-09-10 00:00:00,164.31,1192.698611111111,0.00,10.99,175.30,23.05,574.25,595.39,597.31
CDA,Sep-2020,2020-09-11 00:00:00,145.46,1205.7577777777783,0.00,16.78,162.24,37.48,567.73,600.55,605.21
CDA,Sep-2020,2020-09-12 00:00:00,167.55,1195.095,0.00,4.55,172.10,32.21,578.46,584.43,610.67
CDA,Sep-2020,2020-09-13 00:00:00,173.38,1190.3361111111117,0.00,4.28,177.66,42.49,571.38,576.47,613.87
CDA,Sep-2020,2020-09-14 00:00:00,194.78,1167.7975000000001,0.00,5.42,200.20,47.66,547.48,572.66,595.14
CDA,Sep-2020,2020-09-15 00:00:00,173.63,1183.913611111111,0.00,10.46,184.09,34.38,535.97,613.57,570.34
CDA,Sep-2020,2020-09-16 00:00:00,144.43,1222.1550000000002,0.00,1.42,145.85,42.40,583.85,595.91,626.24
CDA,Sep-2020,2020-09-17 00:00:00,201.92,1164.781944444444,0.00,1.29,203.22,45.09,561.59,558.10,606.69
CDA,Sep-2020,2020-09-18 00:00:00,165.59,1198.356666666666,0.00,4.06,169.64,47.66,579.89,570.81,627.55
CDA,Sep-2020,2020-09-19 00:00:00,180.88,1181.176388888889,0.00,5.94,186.82,35.58,559.88,585.72,595.46
CDA,Sep-2020,2020-09-20 00:00:00,207.61,1153.6075,0.00,4.29,211.89,44.57,544.22,564.81,588.80
CDA,Sep-2020,2020-09-21 00:00:00,180.51,1187.4919444444447,0.00,0.00,180.51,31.62,530.35,625.52,561.97
CDA,Sep-2020,2020-09-22 00:00:00,166.22,1184.305277777778,0.00,17.47,183.69,42.26,515.72,626.32,557.99
CDA,Sep-2020,2020-09-23 00:00:00,189.66,1173.1577777777775,0.00,5.18,194.84,48.54,501.96,622.66,550.50
CDA,Sep-2020,2020-09-24 00:00:00,175.71,1189.3672222222226,1.77,1.16,176.86,48.12,520.80,620.44,568.92
CDA,Sep-2020,2020-09-25 00:00:00,141.11,1217.62,0.00,9.27,150.38,42.12,547.91,627.59,590.03
CDA,Sep-2020,2020-09-26 00:00:00,114.82,1236.7191666666672,0.00,16.46,131.28,53.34,559.16,624.22,612.50
CDA,Sep-2020,2020-09-27 00:00:00,103.86,1256.0716666666667,0.00,8.07,111.93,57.32,588.00,610.75,645.32
CDA,Sep-2020,2020-09-28 00:00:00,148.46,1213.3030555555554,0.00,6.24,154.70,29.37,543.03,640.90,572.40
CDA,Sep-2020,2020-09-29 00:00:00,129.07,1226.3233333333337,0.00,12.61,141.68,41.70,572.32,612.30,614.02
CDA,Sep-2020,2020-09-30 00:00:00,137.26,1226.1150000000002,0.00,4.62,141.89,40.68,557.68,627.76,598.36
CDA,Oct-2020,2020-10-01 00:00:00,148.83,1208.240277777778,0.00,10.93,159.76,42.65,567.18,598.41,609.83
CDA,Oct-2020,2020-10-02 00:00:00,171.20,1190.5266666666664,0.00,6.27,177.47,35.20,563.44,591.89,598.64
CDA,Oct-2020,2020-10-03 00:00:00,186.68,1180.5869444444443,0.00,0.73,187.41,52.99,526.00,601.60,578.98
CDA,Oct-2020,2020-10-04 00:00:00,172.16,1191.628333333333,0.00,4.21,176.37,32.83,557.04,601.76,589.87
CDA,Oct-2020,2020-10-05 00:00:00,121.16,1182.7547222222229,0.00,37.05,158.21,26.05,559.68,597.02,585.74
CDA,Oct-2020,2020-10-06 00:00:00,139.66,1222.5741666666663,0.00,3.76,143.42,48.55,579.14,594.89,627.69
CDA,Oct-2020,2020-10-07 00:00:00,168.91,1195.1522222222222,0.00,3.93,172.85,27.02,508.38,659.76,535.39
CDA,Oct-2020,2020-10-08 00:00:00,159.21,1191.5433333333335,0.00,17.25,176.46,41.26,540.85,609.44,582.11
CDA,Oct-2020,2020-10-09 00:00:00,131.83,1214.3036111111114,0.00,21.87,153.70,34.28,550.27,629.75,584.55
CDA,Oct-2020,2020-10-10 00:00:00,111.73,1242.2774999999992,0.00,13.99,125.72,44.43,553.79,644.05,598.22
CDA,Oct-2020,2020-10-11 00:00:00,131.38,1235.006666666666,0.00,1.61,132.99,24.60,568.23,642.18,592.83
CDA,Oct-2020,2020-10-12 00:00:00,180.93,1178.2683333333332,0.00,8.80,189.73,41.52,497.48,639.27,539.00
CDA,Oct-2020,2020-10-13 00:00:00,192.38,1165.6325,0.00,9.99,202.37,74.76,417.14,673.73,491.90
CDA,Oct-2020,2020-10-14 00:00:00,200.84,1166.1533333333336,0.00,1.01,201.85,74.13,478.45,613.58,552.58
CDA,Oct-2020,2020-10-15 00:00:00,167.62,1198.8972222222226,0.00,1.49,169.10,55.90,544.00,598.99,599.91
CDA,Oct-2020,2020-10-16 00:00:00,190.97,1176.5288888888888,0.00,0.50,191.47,46.65,531.23,598.64,577.89
CDA,Oct-2020,2020-10-17 00:00:00,150.79,1216.802777777778,0.00,0.40,151.20,57.98,543.63,615.19,601.61
CDA,Oct-2020,2020-10-18 00:00:00,147.63,1218.6505555555557,0.00,1.72,149.35,38.89,520.95,658.81,559.84
CDA,Oct-2020,2020-10-19 00:00:00,124.06,1138.3391666666669,0.00,9.60,133.66,49.51,537.56,551.27,587.07
CDA,Oct-2020,2020-10-20 00:00:00,153.08,1012.8661111111107,0.00,10.05,163.13,56.99,533.98,421.89,590.97
CDA,Oct-2020,2020-10-21 00:00:00,173.26,992.6041666666667,0.00,10.14,183.40,68.65,494.51,429.45,563.16
CDA,Oct-2020,2020-10-22 00:00:00,171.84,996.3766666666668,0.00,7.79,179.62,36.98,553.62,405.78,590.60
CDA,Oct-2020,2020-10-23 00:00:00,154.28,1002.8730555555558,0.00,18.84,173.13,36.31,570.72,395.85,607.02
CDA,Oct-2020,2020-10-24 00:00:00,153.25,1019.8569444444445,0.00,2.90,156.14,44.09,546.55,429.22,590.64
CDA,Oct-2020,2020-10-25 00:00:00,142.74,1020.1025000000002,0.00,13.16,155.90,41.59,494.70,483.81,536.30
CDA,Oct-2020,2020-10-26 00:00:00,128.33,1025.4058333333337,0.00,22.26,150.59,52.64,510.88,461.88,563.52
CDA,Oct-2020,2020-10-27 00:00:00,133.94,1028.6169444444447,0.00,13.44,147.38,44.29,497.10,487.23,541.39
CDA,Oct-2020,2020-10-28 00:00:00,141.45,1018.915833333333,0.00,15.63,157.08,52.63,538.24,428.05,590.87
CDA,Oct-2020,2020-10-29 00:00:00,128.64,1044.009166666667,0.00,3.35,131.99,57.20,535.00,451.81,592.20
CDA,Oct-2020,2020-10-30 00:00:00,128.86,1041.955,0.00,5.18,134.05,56.67,551.51,433.77,608.18
CDA,Oct-2020,2020-10-31 00:00:00,113.25,1058.6783333333337,0.00,4.07,117.32,50.25,570.56,437.86,620.82
CDA,Nov-2020,2020-11-01 00:00:00,137.27,1036.6052777777777,0.00,2.13,139.39,45.18,518.52,472.91,563.69
CDA,Nov-2020,2020-11-02 00:00:00,188.38,1010.1075000000001,0.00,1.51,189.89,46.55,515.14,448.42,561.69
CDA,Nov-2020,2020-11-03 00:00:00,163.38,1013.3097222222218,0.00,23.31,186.69,29.02,522.33,461.95,551.35
CDA,Nov-2020,2020-11-04 00:00:00,173.70,1022.4558333333333,0.00,3.84,177.54,37.40,481.73,503.33,519.12
CDA,Nov-2020,2020-11-05 00:00:00,168.73,1017.3999999999999,0.00,9.59,178.32,40.02,499.33,478.06,539.34
CDA,Nov-2020,2020-11-06 00:00:00,144.71,1049.543888888889,0.00,5.75,150.46,41.60,509.17,498.78,550.76
CDA,Nov-2020,2020-11-07 00:00:00,128.94,1068.3058333333333,0.00,2.76,131.69,66.06,537.93,464.32,603.99
CDA,Nov-2020,2020-11-08 00:00:00,141.01,1054.7438888888887,0.00,4.25,145.26,24.95,569.15,460.64,594.10
CDA,Nov-2020,2020-11-09 00:00:00,150.93,1047.6622222222225,0.00,1.40,152.34,43.93,542.15,461.58,586.08
CDA,Nov-2020,2020-11-10 00:00:00,148.10,1054.9852777777774,0.00,7.56,155.66,45.32,500.28,509.39,545.60
CDA,Nov-2020,2020-11-11 00:00:00,204.29,958.0847222222227,0.00,13.32,217.61,39.02,514.23,404.84,553.25
CDA,Nov-2020,2020-11-12 00:00:00,134.57,1037.253611111111,0.00,4.17,138.75,53.28,550.31,433.66,603.59
CDA,Nov-2020,2020-11-13 00:00:00,149.68,1018.0374999999999,0.00,8.29,157.96,34.29,494.07,489.68,528.36
CDA,Nov-2020,2020-11-14 00:00:00,157.25,1009.4941666666666,0.00,9.26,166.51,31.25,514.85,463.39,546.10
CDA,Nov-2020,2020-11-15 00:00:00,118.87,1053.2108333333338,0.00,3.92,122.79,34.77,543.03,475.41,577.80
CDA,Nov-2020,2020-11-16 00:00:00,141.63,1018.2336111111115,0.00,16.14,157.77,44.38,531.86,441.98,576.25
CDA,Nov-2020,2020-11-17 00:00:00,153.80,1011.4080555555556,0.00,10.79,164.59,36.52,544.41,430.48,580.93
CDA,Nov-2020,2020-11-18 00:00:00,201.16,950.1766666666667,0.00,24.66,225.82,24.51,464.30,461.37,488.80
CDA,Nov-2020,2020-11-19 00:00:00,205.78,954.4080555555557,0.00,15.81,221.59,21.56,520.42,412.43,541.98
CDA,Nov-2020,2020-11-20 00:00:00,113.81,1055.9766666666667,0.00,6.22,120.02,47.36,530.82,477.80,578.18
CDA,Nov-2020,2020-11-21 00:00:00,115.98,1049.4541666666669,0.00,10.56,126.55,59.75,522.48,467.22,582.23
CDA,Nov-2020,2020-11-22 00:00:00,155.58,1011.0663888888887,0.00,7.59,163.17,57.19,514.15,439.72,571.35
CDA,Nov-2020,2020-11-23 00:00:00,120.89,1032.2611111111114,0.00,16.88,137.77,37.59,522.08,472.59,559.67
CDA,Nov-2020,2020-11-24 00:00:00,97.63,1053.5505555555555,0.00,24.82,122.45,37.65,548.42,467.48,586.07
CDA,Nov-2020,2020-11-25 00:00:00,130.07,1025.6144444444444,0.00,44.32,174.39,34.70,597.61,393.30,632.31
CDA,Nov-2020,2020-11-26 00:00:00,132.30,1059.0758333333333,0.00,8.62,140.92,55.78,560.02,443.28,615.80
CDA,Nov-2020,2020-11-27 00:00:00,188.12,1011.7380555555558,0.00,0.14,188.26,33.40,555.97,422.37,589.37
CDA,Nov-2020,2020-11-28 00:00:00,137.28,1043.9019444444443,0.00,18.82,156.10,40.75,579.28,423.87,620.03
CDA,Nov-2020,2020-11-29 00:00:00,124.06,1060.2186111111114,0.00,15.34,139.40,37.47,575.35,447.40,612.82
CDA,Nov-2020,2020-11-30 00:00:00,99.20,1085.3280555555557,0.00,15.32,114.52,39.29,591.55,454.49,630.84
CDA,Dec-2020,2020-12-01 00:00:00,109.76,1074.8027777777775,0.00,15.44,125.20,38.44,561.32,475.04,599.76
CDA,Dec-2020,2020-12-02 00:00:00,122.00,1061.4055555555549,0.00,16.60,138.59,42.75,569.04,449.61,611.79
CDA,Dec-2020,2020-12-03 00:00:00,163.07,1011.0916666666669,0.00,25.84,188.91,49.71,531.68,429.69,581.40
CDA,Dec-2020,2020-12-04 00:00:00,129.34,1059.1988888888889,0.00,11.46,140.80,87.53,538.92,432.75,626.45
CDA,Dec-2020,2020-12-05 00:00:00,98.90,1097.9761111111106,0.00,3.13,102.02,47.66,616.89,433.43,664.55
CDA,Dec-2020,2020-12-06 00:00:00,108.57,1090.2358333333332,0.00,1.19,109.76,77.71,561.96,450.56,639.67
CDA,Dec-2020,2020-12-07 00:00:00,120.22,1097.6625,0.00,6.12,126.34,56.58,559.59,481.49,616.17
CDA,Dec-2020,2020-12-08 00:00:00,170.74,1044.6905555555556,0.00,8.57,179.31,32.28,540.06,472.35,572.34
CDA,Dec-2020,2020-12-09 00:00:00,172.36,1047.9472222222223,0.00,3.69,176.05,48.57,547.42,451.95,595.99
CDA,Dec-2020,2020-12-10 00:00:00,160.99,1061.0294444444448,0.00,1.98,162.97,30.94,557.96,472.13,588.90
CDA,Dec-2020,2020-12-11 00:00:00,129.15,1072.762777777778,0.00,22.09,151.24,30.22,562.69,479.86,592.90
CDA,Dec-2020,2020-12-12 00:00:00,105.47,1089.8680555555552,0.00,28.67,134.13,31.03,577.38,481.46,608.41
CDA,Dec-2020,2020-12-13 00:00:00,81.16,1117.1311111111113,0.00,25.71,106.87,49.65,545.18,522.30,594.83
CDA,Dec-2020,2020-12-14 00:00:00,102.98,1106.2019444444447,0.00,14.82,117.80,57.51,534.33,514.36,591.84
CDA,Dec-2020,2020-12-15 00:00:00,165.89,1048.3786111111115,0.00,9.73,175.62,64.84,497.29,486.24,562.14
CDA,Dec-2020,2020-12-16 00:00:00,114.00,1086.1761111111114,0.00,23.82,137.82,49.53,520.49,516.15,570.03
CDA,Dec-2020,2020-12-17 00:00:00,155.86,1047.1758333333335,0.00,20.97,176.82,33.19,560.08,453.91,593.27
CDA,Dec-2020,2020-12-18 00:00:00,145.16,1071.4913888888887,0.00,7.35,152.51,35.61,565.20,470.68,600.81
CDA,Dec-2020,2020-12-19 00:00:00,167.95,1044.1869444444446,0.00,11.87,179.81,42.29,565.82,436.07,608.11
CDA,Dec-2020,2020-12-20 00:00:00,164.81,1032.937777777778,0.00,26.26,191.06,32.16,550.47,450.31,582.63
CDA,Dec-2020,2020-12-21 00:00:00,145.57,1068.8811111111108,0.00,5.37,150.94,34.28,589.44,445.16,623.72
CDA,Dec-2020,2020-12-22 00:00:00,179.80,1014.9255555555551,0.00,25.55,205.34,59.10,501.03,454.80,560.12
CDA,Dec-2020,2020-12-23 00:00:00,124.39,1092.9683333333328,0.00,6.64,131.03,61.31,533.74,497.92,595.05
CDA,Dec-2020,2020-12-24 00:00:00,103.41,1113.5380555555557,0.00,7.05,110.46,47.87,574.66,491.01,622.53
CDA,Dec-2020,2020-12-25 00:00:00,96.52,1114.3041666666672,0.00,8.18,104.70,42.78,577.79,493.74,620.57
CDA,Dec-2020,2020-12-26 00:00:00,109.50,1112.0586111111106,0.00,2.44,111.94,24.80,612.24,475.02,637.04
CDA,Dec-2020,2020-12-27 00:00:00,110.12,1102.9558333333337,0.00,10.92,121.04,40.19,582.11,480.66,622.30
CDA,Dec-2020,2020-12-28 00:00:00,109.38,1110.3449999999998,0.00,4.28,113.66,41.47,551.72,517.15,593.20
CDA,Dec-2020,2020-12-29 00:00:00,120.83,1093.4994444444442,0.00,9.67,130.50,36.30,555.83,501.37,592.13
CDA,Dec-2020,2020-12-30 00:00:00,120.90,1100.8208333333337,0.00,2.27,123.18,24.50,596.80,479.52,621.30
CDA,Dec-2020,2020-12-31 00:00:00,101.02,1119.3780555555556,0.00,3.60,104.62,54.16,565.40,499.81,619.57
CDA,Jan-2021,2021-01-01 00:00:00,87.58,1132.828333333333,0.00,3.59,91.17,35.56,579.39,517.87,614.95
CDA,Jan-2021,2021-01-02 00:00:00,81.11,1139.3088888888892,0.00,3.58,84.69,63.50,577.48,498.32,640.98
CDA,Jan-2021,2021-01-03 00:00:00,90.92,1123.9130555555557,0.00,9.17,100.09,46.67,560.49,516.76,607.16
CDA,Jan-2021,2021-01-04 00:00:00,113.73,1093.8058333333338,0.00,16.46,130.19,45.58,548.91,499.32,594.48
CDA,Jan-2021,2021-01-05 00:00:00,129.43,1080.3125000000002,0.00,14.26,143.69,46.94,570.94,462.44,617.88
CDA,Jan-2021,2021-01-06 00:00:00,187.24,1024.934166666667,0.00,11.82,199.07,48.27,504.95,471.71,553.22
CDA,Jan-2021,2021-01-07 00:00:00,153.52,1061.8438888888888,0.00,8.64,162.16,45.58,557.92,458.34,603.50
CDA,Jan-2021,2021-01-08 00:00:00,200.87,1021.0066666666664,0.00,2.12,202.99,45.96,593.24,381.81,639.19
CDA,Jan-2021,2021-01-09 00:00:00,146.93,1061.2988888888895,0.00,15.78,162.70,46.86,604.27,410.17,651.13
CDA,Jan-2021,2021-01-10 00:00:00,138.90,1076.814166666667,0.00,8.29,147.19,33.30,560.36,483.15,593.66
CDA,Jan-2021,2021-01-11 00:00:00,166.78,1054.2500000000002,0.00,2.97,169.75,51.14,591.17,411.95,642.30
CDA,Jan-2021,2021-01-12 00:00:00,187.21,1032.0036111111106,0.00,4.79,192.00,50.01,565.46,416.53,615.48
CDA,Jan-2021,2021-01-13 00:00:00,185.87,1028.4027777777776,0.00,9.73,195.60,34.49,551.12,442.79,585.61
CDA,Jan-2021,2021-01-14 00:00:00,162.02,1061.5600000000002,0.00,0.42,162.44,64.08,561.70,435.78,625.78
CDA,Jan-2021,2021-01-15 00:00:00,169.01,1033.398888888889,0.00,21.59,190.60,80.58,492.42,460.40,573.00
CDA,Jan-2021,2021-01-16 00:00:00,145.16,1066.5594444444446,0.00,12.28,157.44,44.12,543.65,478.79,587.77
CDA,Jan-2021,2021-01-17 00:00:00,159.49,1047.1594444444443,0.00,17.35,176.84,51.09,558.24,437.83,609.33
CDA,Jan-2021,2021-01-18 00:00:00,116.27,1105.4725000000003,0.00,2.25,118.53,66.39,528.06,511.03,594.45
CDA,Jan-2021,2021-01-19 00:00:00,105.48,1114.9644444444443,0.00,3.56,109.04,56.30,540.95,517.71,597.25
CDA,Jan-2021,2021-01-20 00:00:00,126.55,1093.7380555555555,0.00,3.71,130.26,67.31,523.79,502.64,591.10
CDA,Jan-2021,2021-01-21 00:00:00,126.43,1108.9966666666667,0.00,12.57,139.00,60.05,575.17,473.78,635.22
CDA,Jan-2021,2021-01-22 00:00:00,88.03,1141.6705555555563,0.00,18.30,106.33,40.80,586.85,514.02,627.65
CDA,Jan-2021,2021-01-23 00:00:00,107.20,1110.1597222222226,0.00,30.64,137.84,54.70,562.67,492.79,617.37
CDA,Jan-2021,2021-01-24 00:00:00,94.20,1137.3572222222222,0.00,16.44,110.64,52.11,591.14,494.11,643.25
CDA,Jan-2021,2021-01-25 00:00:00,142.21,1096.9477777777777,0.00,8.85,151.05,55.71,565.50,475.74,621.21
CDA,Jan-2021,2021-01-26 00:00:00,157.78,1087.1830555555553,0.00,3.04,160.82,39.67,561.16,486.36,600.83
CDA,Jan-2021,2021-01-27 00:00:00,203.56,1039.2533333333333,0.00,5.18,208.75,21.28,522.39,495.58,543.67
CDA,Jan-2021,2021-01-28 00:00:00,172.45,1070.828333333333,0.00,4.72,177.17,53.34,558.74,458.75,612.08
CDA,Jan-2021,2021-01-29 00:00:00,108.89,1104.4249999999997,0.00,34.69,143.58,46.78,580.69,476.95,627.47
CDA,Jan-2021,2021-01-30 00:00:00,111.66,1083.9708333333333,0.00,52.37,164.03,33.22,575.09,475.66,608.31
CDA,Jan-2021,2021-01-31 00:00:00,121.61,1110.9597222222224,0.00,13.87,135.47,34.79,557.54,518.63,592.33
CDA,Feb-2021,2021-02-01 00:00:00,103.09,1140.6455555555558,0.00,4.26,107.35,46.91,565.93,527.81,612.84
CDA,Feb-2021,2021-02-02 00:00:00,122.07,1124.4288888888893,0.00,1.50,123.57,65.51,557.75,501.17,623.26
CDA,Feb-2021,2021-02-03 00:00:00,166.52,1060.2816666666658,0.00,19.61,186.13,50.31,536.35,473.62,586.66
CDA,Feb-2021,2021-02-04 00:00:00,144.87,1078.5202777777777,0.00,24.61,169.48,69.23,560.91,448.38,630.14
CDA,Feb-2021,2021-02-05 00:00:00,192.26,1032.4502777777777,0.00,23.29,215.55,34.72,552.87,444.86,587.59
CDA,Feb-2021,2021-02-06 00:00:00,183.92,1059.6669444444447,0.00,4.42,188.33,55.07,549.07,455.53,604.13
CDA,Feb-2021,2021-02-07 00:00:00,173.59,1057.2072222222223,0.00,17.20,190.79,31.46,522.55,503.19,554.02
CDA,Feb-2021,2021-02-08 00:00:00,146.91,1081.9786111111107,0.00,19.12,166.02,47.71,484.83,549.44,532.54
CDA,Feb-2021,2021-02-09 00:00:00,117.29,1119.597777777778,0.00,11.11,128.40,75.76,566.15,477.68,641.92
CDA,Feb-2021,2021-02-10 00:00:00,164.37,1076.7994444444444,0.00,6.83,171.20,92.16,483.64,500.99,575.80
CDA,Feb-2021,2021-02-11 00:00:00,148.05,1093.1555555555558,0.00,6.80,154.84,69.55,539.41,484.20,608.96
CDA,Feb-2021,2021-02-12 00:00:00,130.67,1111.3649999999993,0.00,5.96,136.64,49.39,612.04,449.93,661.44
CDA,Feb-2021,2021-02-13 00:00:00,117.77,1118.8600000000004,0.00,11.37,129.14,52.66,620.37,445.82,673.04
CDA,Feb-2021,2021-02-14 00:00:00,124.35,1104.4058333333337,0.00,19.24,143.59,76.31,654.58,373.51,730.89
CDA,Feb-2021,2021-02-15 00:00:00,136.77,1075.3502777777783,0.00,35.88,172.65,73.96,627.35,374.04,701.31
CDA,Feb-2021,2021-02-16 00:00:00,152.22,1062.9788888888888,0.00,32.80,185.02,58.64,608.88,395.46,667.52
CDA,Feb-2021,2021-02-17 00:00:00,148.88,1096.8833333333332,0.00,2.24,151.12,66.51,596.33,434.05,662.83
CDA,Feb-2021,2021-02-18 00:00:00,131.86,1106.576111111111,0.00,9.57,141.42,70.80,656.51,379.27,727.31
CDA,Feb-2021,2021-02-19 00:00:00,124.42,1116.6330555555558,0.00,6.94,131.37,78.41,604.20,434.03,682.60
CDA,Feb-2021,2021-02-20 00:00:00,114.07,1121.0308333333332,0.00,11.82,125.89,72.67,629.05,419.32,701.71
CDA,Feb-2021,2021-02-21 00:00:00,99.33,1140.115833333333,0.00,8.55,107.88,61.61,632.50,446.00,694.12
CDA,Feb-2021,2021-02-22 00:00:00,90.48,1149.423333333333,0.00,8.09,98.58,65.92,617.08,466.42,683.00
CDA,Feb-2021,2021-02-23 00:00:00,105.70,1126.7819444444433,0.00,15.52,121.22,66.80,623.57,436.42,690.36
CDA,Feb-2021,2021-02-24 00:00:00,171.85,1070.5972222222222,0.00,5.55,177.40,102.37,499.94,468.29,602.31
CDA,Feb-2021,2021-02-25 00:00:00,128.29,1117.2561111111113,0.00,2.46,130.74,53.36,573.02,490.88,626.38
CDA,Feb-2021,2021-02-26 00:00:00,102.73,1135.9183333333337,0.00,9.35,112.08,67.41,610.50,458.00,677.91
CDA,Feb-2021,2021-02-27 00:00:00,122.28,1118.2055555555553,0.00,7.51,129.79,73.25,594.45,450.50,667.70
CDA,Feb-2021,2021-02-28 00:00:00,73.98,1176.1480555555554,0.00,9.88,83.85,49.09,616.53,510.54,665.61
CDA,Mar-2021,2021-03-01 00:00:00,119.44,1124.8819444444443,0.00,27.68,147.12,73.05,586.76,465.07,659.81
CDA,Mar-2021,2021-03-02 00:00:00,142.06,1124.5436111111112,0.00,5.40,147.46,54.68,596.92,472.94,651.60
CDA,Mar-2021,2021-03-03 00:00:00,147.91,1119.4886111111114,0.00,4.60,152.51,58.65,581.38,479.46,640.03
CDA,Mar-2021,2021-03-04 00:00:00,129.44,1130.8188888888885,0.00,11.74,141.18,44.86,566.44,519.51,611.31
CDA,Mar-2021,2021-03-05 00:00:00,120.05,1144.7749999999992,0.00,7.17,127.23,60.35,598.63,485.80,658.98
CDA,Mar-2021,2021-03-06 00:00:00,103.89,1151.3508333333334,0.00,16.76,120.65,67.86,574.61,508.88,642.47
CDA,Mar-2021,2021-03-07 00:00:00,152.26,1106.8672222222222,0.00,12.87,165.13,58.86,574.38,473.62,633.24
CDA,Mar-2021,2021-03-08 00:00:00,144.54,1117.7294444444447,0.00,9.73,154.27,70.72,558.01,489.00,628.73
CDA,Mar-2021,2021-03-09 00:00:00,221.66,1044.8875000000003,0.00,5.45,227.11,54.38,514.90,475.62,569.27
CDA,Mar-2021,2021-03-10 00:00:00,213.42,1027.6052777777782,0.00,30.98,244.39,52.15,524.62,450.84,576.77
